timestamp,open,high,low,close,volume
2026-05-07T09:15:00+05:30,22300,22308,22296,22304,92000
2026-05-07T09:20:00+05:30,22304,22312,22300,22309,94000
2026-05-07T09:25:00+05:30,22309,22316,22305,22312,91000
2026-05-07T09:30:00+05:30,22312,22322,22310,22319,98000
2026-05-07T09:35:00+05:30,22319,22325,22313,22316,87000
2026-05-07T09:40:00+05:30,22316,22326,22314,22324,101000
2026-05-07T09:45:00+05:30,22324,22330,22320,22328,99000
2026-05-07T09:50:00+05:30,22328,22334,22322,22326,89000
2026-05-07T09:55:00+05:30,22326,22338,22324,22335,106000
2026-05-07T10:00:00+05:30,22335,22342,22331,22339,104000
2026-05-07T10:05:00+05:30,22339,22347,22334,22343,108000
2026-05-07T10:10:00+05:30,22343,22350,22338,22346,102000
2026-05-07T10:15:00+05:30,22346,22358,22344,22355,118000
2026-05-07T10:20:00+05:30,22355,22362,22349,22352,96000
2026-05-07T10:25:00+05:30,22352,22366,22350,22363,124000
2026-05-07T10:30:00+05:30,22363,22370,22358,22368,121000
2026-05-07T10:35:00+05:30,22368,22374,22360,22365,100000
2026-05-07T10:40:00+05:30,22365,22379,22362,22376,129000
2026-05-07T10:45:00+05:30,22376,22384,22370,22381,132000
2026-05-07T10:50:00+05:30,22381,22387,22372,22378,97000
2026-05-07T10:55:00+05:30,22378,22394,22376,22390,141000
2026-05-07T11:00:00+05:30,22390,22399,22384,22395,136000
2026-05-07T11:05:00+05:30,22395,22403,22388,22392,103000
2026-05-07T11:10:00+05:30,22392,22407,22390,22402,146000
2026-05-07T11:15:00+05:30,22402,22410,22396,22407,139000
2026-05-07T11:20:00+05:30,22407,22415,22400,22411,134000
2026-05-07T11:25:00+05:30,22411,22418,22404,22414,130000
2026-05-07T11:30:00+05:30,22414,22426,22410,22422,152000
2026-05-07T11:35:00+05:30,22422,22431,22415,22428,149000
2026-05-07T11:40:00+05:30,22428,22435,22420,22424,112000
2026-05-07T11:45:00+05:30,22424,22441,22422,22438,158000
2026-05-07T11:50:00+05:30,22438,22447,22432,22444,154000
2026-05-07T11:55:00+05:30,22444,22452,22436,22440,118000
2026-05-07T12:00:00+05:30,22440,22458,22438,22455,166000
2026-05-07T12:05:00+05:30,22455,22463,22448,22460,161000
2026-05-07T12:10:00+05:30,22460,22469,22452,22466,169000
2026-05-07T12:15:00+05:30,22466,22474,22458,22470,171000
2026-05-07T12:20:00+05:30,22470,22479,22462,22475,176000
2026-05-07T12:25:00+05:30,22475,22482,22466,22472,123000
2026-05-07T12:30:00+05:30,22472,22488,22470,22484,181000
2026-05-07T12:35:00+05:30,22484,22494,22478,22491,187000
2026-05-07T12:40:00+05:30,22491,22499,22482,22488,128000
2026-05-07T12:45:00+05:30,22488,22504,22486,22501,192000
2026-05-07T12:50:00+05:30,22501,22510,22494,22506,188000
2026-05-07T12:55:00+05:30,22506,22512,22496,22500,132000
2026-05-07T13:00:00+05:30,22500,22518,22498,22515,196000
2026-05-07T13:05:00+05:30,22515,22524,22507,22520,201000
2026-05-07T13:10:00+05:30,22520,22528,22510,22516,137000
2026-05-07T13:15:00+05:30,22516,22534,22514,22530,208000
2026-05-07T13:20:00+05:30,22530,22539,22522,22536,214000
2026-05-07T13:25:00+05:30,22536,22544,22528,22540,218000
2026-05-07T13:30:00+05:30,22540,22549,22532,22545,221000
2026-05-07T13:35:00+05:30,22545,22554,22536,22550,226000
2026-05-07T13:40:00+05:30,22550,22558,22542,22546,140000
2026-05-07T13:45:00+05:30,22546,22563,22544,22560,229000
2026-05-07T13:50:00+05:30,22560,22570,22552,22566,236000
2026-05-07T13:55:00+05:30,22566,22573,22555,22562,144000
2026-05-07T14:00:00+05:30,22562,22580,22560,22576,241000
2026-05-07T14:05:00+05:30,22576,22585,22567,22582,246000
2026-05-07T14:10:00+05:30,22582,22590,22572,22586,250000
